Country,Region/State,Zip/Postal Code,Order Subtotal (and above),Shipping Price
US,ME,3911,1,15
US,ME,4001,1,15
US,ME,4002,1,15
US,ME,4003,1,15
US,ME,4004,1,15
US,ME,4005,1,15
US,ME,4006,1,15
US,ME,4007,1,15
US,ME,4008,1,15
US,ME,4009,1,15
US,ME,4010,1,15
US,ME,4011,1,15
US,ME,4013,1,15
US,ME,4014,1,15
US,ME,4015,1,15
US,ME,4016,1,15
US,ME,4017,1,15
US,ME,4019,1,15
US,ME,4020,1,15
US,ME,4021,1,15
US,ME,4022,1,15
US,ME,4024,1,15
US,ME,4027,1,15
US,ME,4028,1,15
US,ME,4029,1,15
US,ME,4030,1,15
US,ME,4032,1,15
US,ME,4033,1,15
US,ME,4034,1,15
US,ME,4037,1,15
US,ME,4038,1,15
US,ME,4039,1,15
US,ME,4040,1,15
US,ME,4041,1,15
US,ME,4042,1,15
US,ME,4043,1,15
US,ME,4046,1,15
US,ME,4047,1,15
US,ME,4048,1,15
US,ME,4049,1,15
US,ME,4050,1,15
US,ME,4051,1,15
US,ME,4054,1,15
US,ME,4055,1,15
US,ME,4056,1,15
US,ME,4057,1,15
US,ME,4061,1,15
US,ME,4062,1,15
US,ME,4063,1,15
US,ME,4064,1,15
US,ME,4066,1,15
US,ME,4068,1,15
US,ME,4069,1,15
US,ME,4070,1,15
US,ME,4071,1,15
US,ME,4072,1,15
US,ME,4073,1,15
US,ME,4074,1,15
US,ME,4076,1,15
US,ME,4077,1,15
US,ME,4078,1,15
US,ME,4079,1,15
US,ME,4082,1,15
US,ME,4083,1,15
US,ME,4084,1,15
US,ME,4085,1,15
US,ME,4086,1,15
US,ME,4087,1,15
US,ME,4088,1,15
US,ME,4090,1,15
US,ME,4091,1,15
US,ME,4092,1,15
US,ME,4093,1,15
US,ME,4094,1,15
US,ME,4095,1,15
